year,product_code,plant,segment,sales_qty,sales_amount,avg_price
2022,P001,B,automotive,887,1343295.62,1514.4257271702368
2022,P001,B,construction,690,1037232.22,1503.2351014492754
2022,P002,A,chemical,1397,1906850.17,1364.9607516105941
2022,P002,A,others,1586,2290444.19,1444.164054224464
2022,P003,B,automotive,1347,1707135.52,1267.361187824796
2022,P003,B,electronics,1034,1122752.22,1085.8338684719536
2022,P004,A,automotive,1684,2541298.85,1509.084827790974
2022,P004,A,chemical,1350,2088723.19,1547.202362962963
2022,P005,A,automotive,1008,1586356.0,1573.765873015873
2022,P006,B,construction,1653,1866079.7,1128.9048396854205
2022,P006,B,consumer,1063,1271837.71,1196.4606867356538
2022,P006,B,others,1238,1470474.48,1187.7822940226172
2022,P007,A,electronics,1436,1520698.33,1058.982123955432
2022,P007,B,automotive,2333,2557067.85,1096.0427989712816
2022,P008,A,others,1270,1611498.95,1268.896811023622
2022,P008,B,chemical,1547,1968234.44,1272.2911700064642
2022,P009,B,medical,243,1676111.5,6897.578189300411
2022,P010,A,electronics,166,1065572.98,6419.114337349398
2022,P011,B,medical,236,1802313.95,7636.923516949152
2022,P012,B,electronics,213,1517971.66,7126.627511737089
2022,P013,A,chemical,179,1131682.58,6322.24905027933
2022,P013,A,others,286,1809535.98,6327.048881118881
2022,P014,B,food_beverage,130,802019.3,6169.379230769231
2022,P015,A,construction,247,1765480.49,7147.694291497975
2022,P015,B,automotive,224,1576206.76,7036.637321428571
2022,P016,B,medical,324,2492047.23,7691.503796296296
2022,P017,A,chemical,292,1898790.35,6502.706678082192
2022,P018,A,electronics,438,3057097.54,6979.674748858448
2022,P019,B,electronics,433,2692617.09,6218.515219399538
2022,P020,B,automotive,377,2699680.31,7160.955729442971
2023,P001,A,automotive,929,1459185.87,1570.705995694295
2023,P001,B,construction,1226,1566650.82,1277.8554812398042
2023,P002,A,chemical,1216,1846588.37,1518.5759621710527
2023,P002,A,others,1513,2118130.56,1399.9541044282882
2023,P003,B,automotive,1723,2250237.21,1305.9995414973882
2023,P003,B,electronics,1775,1816394.95,1023.3210985915492
2023,P004,A,automotive,2062,3506261.73,1700.4179097963142
2023,P004,B,chemical,1636,2627985.3,1606.3479828850855
2023,P005,A,automotive,1012,1647086.53,1627.5558596837946
2023,P006,B,construction,1290,1463012.99,1134.1185968992247
2023,P006,B,consumer,1139,1364683.05,1198.1413959613697
2023,P006,B,others,1004,1284349.08,1279.2321513944223
2023,P007,A,automotive,1481,1800833.72,1215.9579473328831
2023,P007,B,electronics,2230,2738793.45,1228.1584977578477
2023,P008,A,chemical,1643,2267035.78,1379.8148387096774
2023,P008,A,others,1010,1365417.97,1351.8989801980197
2023,P009,B,medical,282,2019927.71,7162.864219858156
2023,P010,A,electronics,284,1968978.59,6933.023204225353
2023,P011,B,medical,218,1683772.83,7723.728577981652
2023,P012,B,electronics,195,1337401.51,6858.469282051282
2023,P013,A,chemical,187,1248505.53,6676.500160427808
2023,P013,A,others,205,1330733.66,6491.383707317073
2023,P014,B,food_beverage,226,1505480.49,6661.418097345133
2023,P015,A,construction,162,1111773.43,6862.7989506172835
2023,P015,B,automotive,233,1667537.0,7156.811158798283
2023,P016,B,medical,206,1497124.48,7267.594563106796
2023,P017,A,chemical,266,1806920.06,6792.932556390978
2023,P018,A,electronics,476,3138593.04,6593.682857142857
2023,P019,B,electronics,339,2064059.14,6088.670029498525
2023,P020,B,automotive,321,2085709.49,6497.537352024922
2024,P001,A,automotive,1455,2068768.35,1421.8339175257734
2024,P001,A,construction,946,1393665.72,1473.219577167019
2024,P002,A,chemical,1781,2593462.49,1456.1833183604717
2024,P002,A,others,1639,2708583.03,1652.5826906650395
2024,P003,B,automotive,1846,2070436.75,1121.5800379198267
2024,P003,B,electronics,1296,1639137.52,1264.7666049382717
2024,P004,A,automotive,1473,2433997.71,1652.4084928716904
2024,P004,A,chemical,1525,2453567.35,1608.8966229508198
2024,P005,A,automotive,1227,1932806.46,1575.2293887530561
2024,P006,B,construction,1805,2198820.49,1218.1830969529087
2024,P006,B,consumer,1958,2339218.45,1194.6978804902963
2024,P006,B,others,1469,1813404.14,1234.4480190605855
2024,P007,A,automotive,1874,2160743.41,1153.011424759872
2024,P007,A,electronics,2164,2606326.98,1204.4024861367836
2024,P008,A,chemical,1708,2447942.24,1433.2214519906324
2024,P008,B,others,1378,1949349.31,1414.6221407837445
2024,P009,B,medical,287,1872634.67,6524.859477351916
2024,P010,A,electronics,223,1341977.6,6017.836771300449
2024,P011,B,medical,193,1501987.23,7782.31725388601
2024,P012,B,electronics,230,1579228.92,6866.212695652173
2024,P013,A,chemical,232,1580500.8,6812.503448275862
2024,P013,A,others,179,1175426.24,6566.627039106145
2024,P014,B,food_beverage,217,1442029.55,6645.297465437789
2024,P015,A,automotive,271,1955109.23,7214.425202952029
2024,P015,A,construction,194,1351331.22,6965.624845360825
2024,P016,B,medical,218,1709274.2,7840.707339449541
2024,P017,A,chemical,269,1794980.0,6672.788104089219
2024,P018,A,electronics,422,3004410.91,7119.457132701422
2024,P019,B,electronics,374,2407741.47,6437.8114171123
2024,P020,A,automotive,467,3297169.26,7060.319614561027
