year,product_code,plant,production_qty,production_cost
2022,P001,B,1600,1407399.9674951525
2022,P002,A,3051,2349910.1281574448
2022,P003,B,2434,1795447.3782925813
2022,P004,A,3080,2219753.4491415443
2022,P005,A,1054,872921.6106036206
2022,P006,B,4108,2566951.545151018
2022,P007,A,1444,796889.2868555184
2022,P007,B,2449,1318689.4106494104
2022,P008,A,1326,790994.0042612696
2022,P008,B,1569,1030644.6964855215
2022,P009,B,253,999919.2632730977
2022,P010,A,167,604802.3764998676
2022,P011,B,248,1176583.9473113285
2022,P012,B,220,979839.2962188385
2022,P013,A,480,1705592.9371222276
2022,P014,B,131,476332.94290106546
2022,P015,A,258,982252.0458894776
2022,P015,B,224,973557.0839965716
2022,P016,B,328,1450450.9678502542
2022,P017,A,294,966238.7374379006
2022,P018,A,455,1787186.2225934346
2022,P019,B,437,1629613.9416624042
2022,P020,B,394,1581491.0965745754
