year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2023,P001,A,automotive,929,1459185.87,1570.71,AUTOMOTIVE-C4
2023,P001,B,construction,1226,1566650.82,1277.86,CONSTRUCTION-C2
2023,P002,A,chemical,1216,1846588.37,1518.58,CHEMICAL-C3
2023,P002,A,others,1513,2118130.56,1399.95,OTHERS-C5
2023,P003,B,automotive,1723,2250237.21,1306.0,AUTOMOTIVE-C3
2023,P003,B,electronics,1775,1816394.95,1023.32,ELECTRONICS-C3
2023,P004,A,automotive,2062,3506261.73,1700.42,AUTOMOTIVE-C1
2023,P004,B,chemical,1636,2627985.3,1606.35,CHEMICAL-C4
2023,P005,A,automotive,1012,1647086.53,1627.56,AUTOMOTIVE-C3
2023,P006,B,construction,1290,1463012.99,1134.12,CONSTRUCTION-C2
2023,P006,B,consumer,1139,1364683.05,1198.14,CONSUMER-C4
2023,P006,B,others,1004,1284349.08,1279.23,OTHERS-C3
2023,P007,A,automotive,1481,1800833.72,1215.96,AUTOMOTIVE-C3
2023,P007,B,electronics,2230,2738793.45,1228.16,ELECTRONICS-C3
2023,P008,A,chemical,1643,2267035.78,1379.81,CHEMICAL-C1
2023,P008,A,others,1010,1365417.97,1351.9,OTHERS-C5
2023,P009,B,medical,282,2019927.71,7162.86,MEDICAL-C2
2023,P010,A,electronics,284,1968978.59,6933.02,ELECTRONICS-C4
2023,P011,B,medical,218,1683772.83,7723.73,MEDICAL-C2
2023,P012,B,electronics,195,1337401.51,6858.47,ELECTRONICS-C1
2023,P013,A,chemical,187,1248505.53,6676.5,CHEMICAL-C5
2023,P013,A,others,205,1330733.66,6491.38,OTHERS-C2
2023,P014,B,food_beverage,226,1505480.49,6661.42,FOOD_BEVERAGE-C5
2023,P015,A,construction,162,1111773.43,6862.8,CONSTRUCTION-C2
2023,P015,B,automotive,233,1667537.0,7156.81,AUTOMOTIVE-C2
2023,P016,B,medical,206,1497124.48,7267.59,MEDICAL-C3
2023,P017,A,chemical,266,1806920.06,6792.93,CHEMICAL-C1
2023,P018,A,electronics,476,3138593.04,6593.68,ELECTRONICS-C4
2023,P019,B,electronics,339,2064059.14,6088.67,ELECTRONICS-C1
2023,P020,B,automotive,321,2085709.49,6497.54,AUTOMOTIVE-C3
