product_code,plant,segment,alloc_qty,unit_margin,margin_rate,alloc_margin
P010,A,electronics,7693.333333333333,38563.22532015201,0.42251144109622557,296679746.79636943
P018,A,electronics,1972.2857142857147,36863.90081693663,0.4321871700655564,72706144.9540896
P017,A,chemical,5552.666666666667,35993.49812993162,0.435842502526622,199859897.28280032
P015,A,construction,5000.0,32867.98541231603,0.4663216185873561,164339927.06158015
P020,A,automotive,10165.333333333334,34012.03157921368,0.43197971090548787,345743638.34656686
P013,A,chemical,1815.0,33915.09574160688,0.4032199413352277,61555898.771016486
P013,A,others,6113.333333333333,29627.429074940213,0.3677500585882878,181122349.74480116
P007,A,automotive,4548.047619047618,14868.503430276955,0.5694836704760159,67622661.62487245
P005,A,construction,5528.466666666667,11665.6166980586,0.5315411250447952,64492973.06132704
P008,A,others,2426.166666666667,10270.867301094015,0.4551694693132897,24918835.883670934
P001,A,consumer,8477.0,9296.12106168492,0.4763821390634888,78803218.23990306
P011,B,medical,5000.0,31862.911324529647,0.37965972682095267,159314556.62264824
P009,B,medical,518.8888888888887,31768.631155742856,0.3497843113655255,16484389.721924342
P014,B,food_beverage,8921.0,28889.051617112375,0.3424110280060133,257719229.4762595
P019,B,consumer,331.33333333333394,25319.05753097657,0.29750219025049307,8389047.728596918
