product_code,plant,unit_cost_avg
P001,A,751.3240847855548
P001,B,798.6401068078872
P002,A,779.9494540721986
P003,B,675.1960996437151
P004,A,809.4088946854571
P004,B,839.0015413916104
P005,A,845.2862771812012
P006,B,670.0076914127625
P007,A,570.526686058541
P007,B,619.928973519804
P008,A,703.1699425827619
P008,B,758.0652024216581
P009,B,4033.104223434233
P010,A,3667.2677841151185
P011,B,4899.9070213078685
P012,B,4261.208175514827
P013,A,3686.658931384272
P014,B,4057.0462314521924
P015,A,4226.349620176198
P015,B,4229.0054775392055
P016,B,4755.317578975734
P017,A,3611.378106468317
P018,A,3877.8034844230588
P019,B,3696.616402429037
P020,A,3940.902756436791
P020,B,4143.403935761609
