year,product_code,plant,segment,sales_qty,sales_amount,avg_price,unit_cost_avg,unit_cost_adj,unit_margin,margin_rate
2022,P001,A,construction,11066,153728872.0,13892.0,10217.87893831508,10217.87893831508,3674.1210616849203,0.2644774734872531
2022,P001,A,consumer,8477,165420178.0,19514.0,10217.87893831508,10217.87893831508,9296.12106168492,0.4763821390634888
2022,P001,B,automotive,13693,362262008.0,26456.0,12414.031349314979,13034.732916780727,13421.267083219273,0.5073052269133381
2022,P002,A,chemical,7364,158267088.0,21492.0,10842.165260342024,10842.165260342024,10649.834739657976,0.49552553227517104
2022,P002,A,construction,11051,171754642.0,15542.0,10842.165260342024,10842.165260342024,4699.834739657976,0.30239574955977194
2022,P002,A,others,7886,84324998.0,10693.0,10842.165260342024,10842.165260342024,-149.16526034202434,-0.013949804577015276
2022,P003,B,automotive,11416,300023896.0,26281.0,8574.520114216748,9003.246119927586,17277.753880072414,0.6574237616556605
2022,P003,B,electronics,11559,276572193.0,23927.0,8574.520114216748,9003.246119927586,14923.753880072414,0.623720227361241
2022,P004,B,automotive,21992,566953760.0,25780.0,11911.914416060778,12507.510136863817,13272.489863136183,0.5148366898035758
2022,P004,B,chemical,11694,272072604.0,23266.0,11911.914416060778,12507.510136863817,10758.489863136183,0.46241252742784245
2022,P005,A,automotive,10297,223990641.0,21753.0,9980.716635274732,9980.716635274732,11772.283364725268,0.5411797620891494
2022,P005,A,construction,7664,196619920.0,25655.0,9980.716635274732,9980.716635274732,15674.283364725268,0.6109640758029729
2022,P006,B,construction,14663,235238509.0,16043.0,11705.533383708154,12290.810052893563,3752.189947106437,0.2338833102977272
2022,P006,B,consumer,8133,239956032.0,29504.0,11705.533383708154,12290.810052893563,17213.18994710644,0.5834188566671109
2022,P006,B,others,12502,280507374.0,22437.0,11705.533383708154,12290.810052893563,10146.189947106437,0.45220795770853667
2022,P007,A,automotive,20754,577293264.0,27816.0,11195.829903056381,11195.829903056381,16620.17009694362,0.5975039580437022
2022,P007,A,electronics,16851,209879205.0,12455.0,11195.829903056381,11195.829903056381,1259.1700969436188,0.10109755896777349
2022,P008,A,chemical,7381,210727550.0,28550.0,12046.132698905985,12046.132698905985,16503.867301094015,0.5780689072187045
2022,P008,A,others,7371,148650957.0,20167.0,12046.132698905985,12046.132698905985,8120.867301094015,0.40268097888104404
2022,P009,B,medical,5000,493250000.0,98650.0,49597.49413738775,52077.368844257144,46572.631155742856,0.4720996569259286
2022,P010,A,electronics,7036,684806844.0,97329.0,48299.77467984799,48299.77467984799,49029.22532015201,0.5037473447806101
2022,P011,B,medical,5000,349565000.0,69913.0,47861.6717544162,50254.75534213702,19658.244657862982,0.28118153502013904
2022,P012,A,electronics,7148,593977356.0,83097.0,40572.81948477472,40572.81948477472,42524.18051522528,0.5117414649773792
2022,P013,A,chemical,5486,521175486.0,95001.0,47788.23759172645,47788.23759172645,47212.76240827355,0.49697121512693077
2022,P013,A,others,5411,405521984.0,74944.0,47788.23759172645,47788.23759172645,27155.76240827355,0.36234738482431617
2022,P014,B,food_beverage,8976,759827376.0,84651.0,51515.188936083454,54090.948382887625,30560.051617112375,0.36101229302798993
2022,P015,A,construction,5000,327950000.0,65590.0,37277.01458768397,37277.01458768397,28312.985412316033,0.43166619015575597
2022,P015,B,automotive,5453,432073908.0,79236.0,52310.75209487399,54926.28969961769,24309.710300382307,0.3068013314703204
2022,P016,B,medical,5961,505939875.0,84875.0,53335.99840715735,56002.79832751522,28872.201672484778,0.3401732155815585
2022,P017,A,chemical,6291,577545255.0,91805.0,44759.50187006838,44759.50187006838,47045.49812993162,0.5124502819011124
2022,P018,A,electronics,7056,569475648.0,80708.0,47815.43251639671,47815.43251639671,32892.56748360329,0.4075502736234734
2022,P019,B,consumer,5000,434245000.0,86849.0,55228.834097482635,57990.275802356766,28858.724197643234,0.3322862001593943
2022,P019,B,electronics,5251,511688946.0,97446.0,55228.834097482635,57990.275802356766,39455.724197643234,0.4048983457262816
2022,P020,A,automotive,10664,843810328.0,79127.0,42159.30175411965,42159.30175411965,36967.69824588035,0.4671944879229637
2022,P020,A,electronics,9230,698129510.0,75637.0,42159.30175411965,42159.30175411965,33477.69824588035,0.44261007504105593
2023,P001,A,construction,14487,342776907.0,23661.0,10217.87893831508,10217.87893831508,13443.12106168492,0.5681552369589163
2023,P001,B,automotive,18746,211379896.0,11276.0,12414.031349314979,13034.732916780727,-1758.7329167807275,-0.15597134771024543
2023,P001,B,consumer,12407,330696178.0,26654.0,12414.031349314979,13034.732916780727,13619.267083219273,0.5109652241021713
2023,P002,A,chemical,8063,208823637.0,25899.0,10842.165260342024,10842.165260342024,15056.834739657976,0.5813674172615921
2023,P002,A,construction,10816,116217920.0,10745.0,10842.165260342024,10842.165260342024,-97.16526034202434,-0.009042834838717947
2023,P002,A,others,6693,189766629.0,28353.0,10842.165260342024,10842.165260342024,17510.834739657977,0.617600773803759
2023,P003,B,automotive,17762,209609362.0,11801.0,8574.520114216748,9003.246119927586,2797.753880072414,0.2370776951167201
2023,P003,B,electronics,14095,225942850.0,16030.0,8574.520114216748,9003.246119927586,7026.753880072414,0.438350210859165
2023,P004,B,automotive,16058,201543958.0,12551.0,11911.914416060778,12507.510136863817,43.489863136182976,0.0034650516402026112
2023,P004,B,chemical,11441,258280575.0,22575.0,11911.914416060778,12507.510136863817,10067.489863136183,0.44595746902042893
2023,P005,A,automotive,12862,278089302.0,21621.0,9980.716635274732,9980.716635274732,11640.283364725268,0.5383785840028338
2023,P005,A,construction,14237,282091918.0,19814.0,9980.716635274732,9980.716635274732,9833.283364725268,0.49627956822071606
2023,P006,B,construction,10033,124178441.0,12377.0,11705.533383708154,12290.810052893563,86.1899471064371,0.006963718761124432
2023,P006,B,consumer,8470,177327920.0,20936.0,11705.533383708154,12290.810052893563,8645.189947106437,0.4129341778327492
2023,P006,B,others,9376,127644864.0,13614.0,11705.533383708154,12290.810052893563,1323.189947106437,0.09719332650994837
2023,P007,A,automotive,20168,513094088.0,25441.0,11195.829903056381,11195.829903056381,14245.170096943619,0.5599296449409857
2023,P007,A,electronics,18730,411835240.0,21988.0,11195.829903056381,11195.829903056381,10792.170096943619,0.4908209067192841
2023,P008,B,chemical,7610,79920220.0,10502.0,9735.345980040172,10222.113279042182,279.8867209578184,0.026650801843250655
2023,P008,B,others,10916,218134428.0,19983.0,9735.345980040172,10222.113279042182,9760.886720957818,0.48845952664553965
2023,P009,B,medical,5000,460875000.0,92175.0,49597.49413738775,52077.368844257144,40097.631155742856,0.4350163401762176
2023,P010,A,electronics,8043,520824465.0,64755.0,48299.77467984799,48299.77467984799,16455.225320152007,0.2541151311891284
2023,P011,B,medical,5000,463315000.0,92663.0,47861.6717544162,50254.75534213702,42408.24465786298,0.4576610368524976
2023,P012,A,electronics,5000,338965000.0,67793.0,40572.81948477472,40572.81948477472,27220.18051522528,0.40151904348863865
2023,P013,A,chemical,4158,279667080.0,67260.0,47788.23759172645,47788.23759172645,19471.76240827355,0.2894998871286582
2023,P013,A,others,5000,466695000.0,93339.0,47788.23759172645,47788.23759172645,45550.76240827355,0.4880142535089678
2023,P014,B,food_beverage,6611,482093953.0,72923.0,51515.188936083454,54090.948382887625,18832.051617112375,0.258245705979079
2023,P015,A,construction,5000,373500000.0,74700.0,37277.01458768397,37277.01458768397,37422.98541231603,0.5009770470189563
2023,P015,B,automotive,7918,681771472.0,86104.0,52310.75209487399,54926.28969961769,31177.710300382307,0.3620936344465101
2023,P016,B,medical,5000,444685000.0,88937.0,53335.99840715735,56002.79832751522,32934.20167248478,0.3703093388857818
2023,P017,A,chemical,4150,346952450.0,83603.0,44759.50187006838,44759.50187006838,38843.49812993162,0.46461847218319463
2023,P018,A,electronics,7212,676500024.0,93802.0,47815.43251639671,47815.43251639671,45986.56748360329,0.49025146034842854
2023,P019,B,consumer,5000,452510000.0,90502.0,55228.834097482635,57990.275802356766,32511.724197643234,0.3592376322914768
2023,P019,B,electronics,6288,560814144.0,89188.0,55228.834097482635,57990.275802356766,31197.724197643234,0.3497973292106924
2023,P020,A,automotive,10583,940871032.0,88904.0,42159.30175411965,42159.30175411965,46744.69824588035,0.5257884712260454
2023,P020,B,electronics,9883,610057824.0,61728.0,45324.420741070884,47590.64177812443,14137.35822187557,0.2290266689650656
2024,P001,A,construction,13027,226787043.0,17409.0,10217.87893831508,10217.87893831508,7191.12106168492,0.413069163173354
2024,P001,B,automotive,22384,382542560.0,17090.0,12414.031349314979,13034.732916780727,4055.2670832192725,0.2372888872568328
2024,P001,B,consumer,11184,291857664.0,26096.0,12414.031349314979,13034.732916780727,13061.267083219273,0.5005083952797085
2024,P002,A,chemical,6084,180421020.0,29655.0,10842.165260342024,10842.165260342024,18812.834739657977,0.634389976046467
2024,P002,A,construction,9381,216597909.0,23089.0,10842.165260342024,10842.165260342024,12246.834739657976,0.5304185863250022
2024,P002,A,others,11028,221662800.0,20100.0,10842.165260342024,10842.165260342024,9257.834739657976,0.46058879301780975
2024,P003,B,automotive,16733,221293925.0,13225.0,8574.520114216748,9003.246119927586,4221.753880072414,0.3192252461302393
2024,P003,B,electronics,11389,133854917.0,11753.0,8574.520114216748,9003.246119927586,2749.753880072414,0.23396187186866452
2024,P004,A,chemical,10641,146462724.0,13764.0,7613.553260508315,7613.553260508315,6150.446739491685,0.44685024262508605
2024,P004,B,automotive,16697,349601786.0,20938.0,11911.914416060778,12507.510136863817,8430.489863136183,0.40264064682090855
2024,P005,A,automotive,19614,205083984.0,10456.0,9980.716635274732,9980.716635274732,475.28336472526826,0.045455562808461004
2024,P005,A,construction,10434,203149980.0,19470.0,9980.716635274732,9980.716635274732,9489.283364725268,0.4873797311106969
2024,P006,B,construction,15812,455006112.0,28776.0,11705.533383708154,12290.810052893563,16485.18994710644,0.5728798285761203
2024,P006,B,consumer,15604,456651060.0,29265.0,11705.533383708154,12290.810052893563,16974.18994710644,0.5800167417429161
2024,P006,B,others,8538,250914744.0,29388.0,11705.533383708154,12290.810052893563,17097.18994710644,0.5817745320234939
2024,P007,A,automotive,17780,443362080.0,24936.0,11195.829903056381,11195.829903056381,13740.170096943619,0.5510174084433598
2024,P007,A,electronics,21647,553037556.0,25548.0,11195.829903056381,11195.829903056381,14352.170096943619,0.5617727453007523
2024,P008,A,chemical,8926,190534396.0,21346.0,12046.132698905985,12046.132698905985,9299.867301094015,0.4356725991330467
2024,P008,A,others,9824,240363808.0,24467.0,12046.132698905985,12046.132698905985,12420.867301094015,0.5076579597455354
2024,P009,B,medical,5000,303565000.0,60713.0,49597.49413738775,52077.368844257144,8635.631155742856,0.14223693699443046
2024,P010,A,electronics,8001,788138505.0,98505.0,48299.77467984799,48299.77467984799,50205.22532015201,0.5096718473189382
2024,P011,B,medical,5000,418885000.0,83777.0,47861.6717544162,50254.75534213702,33522.24465786298,0.40013660859022143
2024,P012,B,electronics,5043,464581332.0,92124.0,60499.4821928674,63524.45630251077,28599.54369748923,0.3104461779502543
2024,P013,A,chemical,5009,414990641.0,82849.0,47788.23759172645,47788.23759172645,35060.76240827355,0.42318872175009414
2024,P013,A,others,7929,507170556.0,63964.0,47788.23759172645,47788.23759172645,16175.76240827355,0.25288853743157946
2024,P014,B,food_beverage,11176,1021106416.0,91366.0,51515.188936083454,54090.948382887625,37275.051617112375,0.40797508501097096
2024,P015,B,automotive,8158,583509108.0,71526.0,52310.75209487399,54926.28969961769,16599.710300382307,0.2320793879202291
2024,P015,B,construction,5256,459532080.0,87430.0,52310.75209487399,54926.28969961769,32503.710300382307,0.3717683895731706
2024,P016,B,medical,8709,664226721.0,76269.0,53335.99840715735,56002.79832751522,20266.201672484778,0.2657200392359252
2024,P017,A,chemical,6217,415612667.0,66851.0,44759.50187006838,44759.50187006838,22091.49812993162,0.3304587534955591
2024,P018,A,electronics,5475,435415800.0,79528.0,47815.43251639671,47815.43251639671,31712.567483603292,0.39875977622476727
2024,P019,B,consumer,5000,362885000.0,72577.0,55228.834097482635,57990.275802356766,14586.724197643234,0.20098273830060812
2024,P019,B,electronics,6410,584668920.0,91212.0,55228.834097482635,57990.275802356766,33221.724197643234,0.3642253672503972
2024,P020,A,automotive,9249,559407267.0,60483.0,42159.30175411965,42159.30175411965,18323.698245880347,0.3029561735674544
2024,P020,B,electronics,11631,987855723.0,84933.0,45324.420741070884,47590.64177812443,37342.35822187557,0.4396684236030232
