year,product_code,plant,segment,sales_qty,sales_amount,avg_price
2022,P001,A,construction,10181,141434452.0,13892.0
2022,P001,A,consumer,7799,152189686.0,19514.0
2022,P001,B,automotive,12597,333266232.0,26456.0
2022,P002,A,chemical,5225,112295700.0,21492.0
2022,P002,A,construction,10168,158031056.0,15542.0
2022,P002,A,others,3768,40291224.0,10693.0
2022,P003,B,automotive,10503,276029343.0,26281.0
2022,P003,B,electronics,10634,254439718.0,23927.0
2022,P004,B,automotive,20233,521606740.0,25780.0
2022,P004,B,chemical,8297,193038002.0,23266.0
2022,P005,A,automotive,9473,206066169.0,21753.0
2022,P005,A,construction,7051,180893405.0,25655.0
2022,P006,B,construction,13490,216420070.0,16043.0
2022,P006,B,consumer,7483,220778432.0,29504.0
2022,P006,B,others,5973,134016201.0,22437.0
2022,P007,A,automotive,19093,531090888.0,27816.0
2022,P007,A,electronics,15502,193077410.0,12455.0
2022,P008,A,chemical,5237,149516350.0,28550.0
2022,P008,A,others,3522,71028174.0,20167.0
2022,P009,B,medical,5000,493250000.0,98650.0
2022,P010,A,electronics,6473,630010617.0,97329.0
2022,P011,B,medical,5000,349565000.0,69913.0
2022,P012,A,electronics,6576,546445872.0,83097.0
2022,P013,A,chemical,3892,369743892.0,95001.0
2022,P013,A,others,2597,194629568.0,74944.0
2022,P014,B,food_beverage,27528,2330272728.0,84651.0
2022,P015,A,construction,5000,327950000.0,65590.0
2022,P015,B,automotive,5017,397527012.0,79236.0
2022,P016,B,medical,5485,465539375.0,84875.0
2022,P017,A,chemical,4464,409817520.0,91805.0
2022,P018,A,electronics,6491,523875628.0,80708.0
2022,P019,B,consumer,5000,434245000.0,86849.0
2022,P019,B,electronics,5000,487230000.0,97446.0
2022,P020,A,automotive,9812,776394124.0,79127.0
2022,P020,A,electronics,8492,642309404.0,75637.0
2023,P001,A,construction,13328,315353808.0,23661.0
2023,P001,B,automotive,17246,194465896.0,11276.0
2023,P001,B,consumer,11414,304228756.0,26654.0
2023,P002,A,chemical,5721,148168179.0,25899.0
2023,P002,A,construction,9952,106934240.0,10745.0
2023,P002,A,others,3198,90672894.0,28353.0
2023,P003,B,automotive,16341,192840141.0,11801.0
2023,P003,B,electronics,12968,207877040.0,16030.0
2023,P004,B,automotive,14774,185428474.0,12551.0
2023,P004,B,chemical,8117,183241275.0,22575.0
2023,P005,A,automotive,11833,255841293.0,21621.0
2023,P005,A,construction,13098,259523772.0,19814.0
2023,P006,B,construction,9231,114252087.0,12377.0
2023,P006,B,consumer,7793,163154248.0,20936.0
2023,P006,B,others,4480,60990720.0,13614.0
2023,P007,A,automotive,18553,472006873.0,25441.0
2023,P007,A,electronics,17231,378875228.0,21988.0
2023,P008,B,chemical,5400,56710800.0,10502.0
2023,P008,B,others,5215,104211345.0,19983.0
2023,P009,B,medical,5000,460875000.0,92175.0
2023,P010,A,electronics,7400,479187000.0,64755.0
2023,P011,B,medical,5000,463315000.0,92663.0
2023,P012,A,electronics,5000,338965000.0,67793.0
2023,P013,A,chemical,3085,207497100.0,67260.0
2023,P013,A,others,2597,242401383.0,93339.0
2023,P014,B,food_beverage,20272,1478295056.0,72923.0
2023,P015,A,construction,5000,373500000.0,74700.0
2023,P015,B,automotive,7285,627267640.0,86104.0
2023,P016,B,medical,5000,444685000.0,88937.0
2023,P017,A,chemical,3085,257915255.0,83603.0
2023,P018,A,electronics,6635,622376270.0,93802.0
2023,P019,B,consumer,5000,452510000.0,90502.0
2023,P019,B,electronics,5786,516041768.0,89188.0
2023,P020,A,automotive,9737,865658248.0,88904.0
2023,P020,B,electronics,9093,561292704.0,61728.0
2024,P001,A,construction,11984,208629456.0,17409.0
2024,P001,B,automotive,20593,351934370.0,17090.0
2024,P001,B,consumer,10290,268527840.0,26096.0
2024,P002,A,chemical,4317,128020635.0,29655.0
2024,P002,A,construction,8631,199281159.0,23089.0
2024,P002,A,others,5269,105906900.0,20100.0
2024,P003,B,automotive,15395,203598875.0,13225.0
2024,P003,B,electronics,10478,123147934.0,11753.0
2024,P004,A,chemical,7550,103918200.0,13764.0
2024,P004,B,automotive,15361,321628618.0,20938.0
2024,P005,A,automotive,18045,188678520.0,10456.0
2024,P005,A,construction,9600,186912000.0,19470.0
2024,P006,B,construction,14547,418604472.0,28776.0
2024,P006,B,consumer,14356,420128340.0,29265.0
2024,P006,B,others,4079,119873652.0,29388.0
2024,P007,A,automotive,16357,407878152.0,24936.0
2024,P007,A,electronics,19914,508762872.0,25548.0
2024,P008,A,chemical,6334,135205564.0,21346.0
2024,P008,A,others,4694,114848098.0,24467.0
2024,P009,B,medical,5000,303565000.0,60713.0
2024,P010,A,electronics,7362,725193810.0,98505.0
2024,P011,B,medical,5000,418885000.0,83777.0
2024,P012,B,electronics,5000,460620000.0,92124.0
2024,P013,A,chemical,3554,294445346.0,82849.0
2024,P013,A,others,3788,242295632.0,63964.0
2024,P014,B,food_beverage,34272,3131295552.0,91366.0
2024,P015,B,automotive,7506,536874156.0,71526.0
2024,P015,B,construction,5000,437150000.0,87430.0
2024,P016,B,medical,8012,611067228.0,76269.0
2024,P017,A,chemical,4411,294879761.0,66851.0
2024,P018,A,electronics,5037,400582536.0,79528.0
2024,P019,B,consumer,5000,362885000.0,72577.0
2024,P019,B,electronics,5898,537968376.0,91212.0
2024,P020,A,automotive,8510,514710330.0,60483.0
2024,P020,B,electronics,10701,908868033.0,84933.0
