year,product_code,plant,production_qty,unit_cost,cost_amount
2024,P001,A,13538,10336.844041545753,139940194.6344464
2024,P001,B,34636,12642.70693246173,437892797.31274444
2024,P002,A,27251,13213.296207409196,360075534.948108
2024,P003,B,28326,6585.653688194357,186545226.37179336
2024,P004,A,11144,7613.553260508314,84845437.53510466
2024,P004,B,16949,12219.44826067942,207107428.57025552
2024,P005,A,30916,6904.113641279634,213447577.33380118
2024,P006,B,41352,16685.81851496519,689991967.2308406
2024,P007,A,40707,11413.071992095141,464591921.5822169
2024,P008,A,19632,11062.217452993209,217173453.0371627
2024,P009,B,5037,36895.37556674308,185842006.7296849
2024,P010,A,8204,51672.04833389451,423917484.53127056
2024,P011,B,5101,46172.045798039544,235523605.61579973
2024,P012,B,5163,60499.4821928674,312358826.5617744
2024,P013,A,13015,46212.831161078815,601459997.5614408
2024,P014,B,11251,55967.63068489644,629691812.8357698
2024,P015,B,13601,51098.71397076995,694993608.7164421
2024,P016,B,8842,51937.332775098825,459229896.3974238
2024,P017,A,6350,34845.37401200667,221268124.97624236
2024,P018,A,5642,45111.21156963381,254517455.67587394
2024,P019,B,11772,48733.8526718244,573694913.6527169
2024,P020,A,9439,30967.74312341583,292304527.341922
2024,P020,B,11869,54693.83706664123,649161152.1439648
