year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2024,P001,B,automotive,22384,382542560.0,17090.0,AUTOMOTIVE-C4
2024,P001,A,construction,13027,226787043.0,17409.0,CONSTRUCTION-C4
2024,P001,B,consumer,11184,291857664.0,26096.0,CONSUMER-C4
2024,P002,A,construction,9381,216597909.0,23089.0,CONSTRUCTION-C3
2024,P002,A,chemical,6084,180421020.0,29655.0,CHEMICAL-C2
2024,P002,A,others,11028,221662800.0,20100.0,OTHERS-C4
2024,P003,B,automotive,16733,221293925.0,13225.0,AUTOMOTIVE-C3
2024,P003,B,electronics,11389,133854917.0,11753.0,ELECTRONICS-C2
2024,P004,B,automotive,16697,349601786.0,20938.0,AUTOMOTIVE-C1
2024,P004,A,chemical,10641,146462724.0,13764.0,CHEMICAL-C2
2024,P005,A,automotive,19614,205083984.0,10456.0,AUTOMOTIVE-C3
2024,P005,A,construction,10434,203149980.0,19470.0,CONSTRUCTION-C3
2024,P006,B,construction,15812,455006112.0,28776.0,CONSTRUCTION-C4
2024,P006,B,consumer,15604,456651060.0,29265.0,CONSUMER-C2
2024,P006,B,others,8538,250914744.0,29388.0,OTHERS-C5
2024,P007,A,automotive,17780,443362080.0,24936.0,AUTOMOTIVE-C1
2024,P007,A,electronics,21647,553037556.0,25548.0,ELECTRONICS-C5
2024,P008,A,chemical,8926,190534396.0,21346.0,CHEMICAL-C5
2024,P008,A,others,9824,240363808.0,24467.0,OTHERS-C1
2024,P009,B,medical,5000,303565000.0,60713.0,MEDICAL-C2
2024,P010,A,electronics,8001,788138505.0,98505.0,ELECTRONICS-C5
2024,P011,B,medical,5000,418885000.0,83777.0,MEDICAL-C2
2024,P012,B,electronics,5043,464581332.0,92124.0,ELECTRONICS-C2
2024,P013,A,chemical,5009,414990641.0,82849.0,CHEMICAL-C1
2024,P013,A,others,7929,507170556.0,63964.0,OTHERS-C2
2024,P014,B,food_beverage,11176,1021106416.0,91366.0,FOOD_BEVERAGE-C2
2024,P015,B,construction,5256,459532080.0,87430.0,CONSTRUCTION-C5
2024,P015,B,automotive,8158,583509108.0,71526.0,AUTOMOTIVE-C3
2024,P016,B,medical,8709,664226721.0,76269.0,MEDICAL-C3
2024,P017,A,chemical,6217,415612667.0,66851.0,CHEMICAL-C3
2024,P018,A,electronics,5475,435415800.0,79528.0,ELECTRONICS-C4
2024,P019,B,consumer,5000,362885000.0,72577.0,CONSUMER-C1
2024,P019,B,electronics,6410,584668920.0,91212.0,ELECTRONICS-C4
2024,P020,A,automotive,9249,559407267.0,60483.0,AUTOMOTIVE-C2
2024,P020,B,electronics,11631,987855723.0,84933.0,ELECTRONICS-C1
