year,product_code,plant,production_qty,production_cost
2023,P001,A,959,807182.785504322
2023,P001,B,1228,881280.6272676415
2023,P002,A,2730,2202416.4649102795
2023,P003,B,3507,2342502.732323322
2023,P004,A,2124,1978717.0991478495
2023,P004,B,1702,1427980.623448521
2023,P005,A,1024,946829.9529290424
2023,P006,B,3579,2396348.57848762
2023,P007,A,1485,929415.515130254
2023,P007,B,2319,1626541.0147520283
2023,P008,A,2776,1916010.1112409155
2023,P009,B,293,1271312.6622624032
2023,P010,A,294,1244399.4666334302
2023,P011,B,227,1165248.9563728445
2023,P012,B,195,896147.9603672858
2023,P013,A,396,1499615.6949836512
2023,P014,B,227,917784.445997557
2023,P015,A,166,706297.1233101694
2023,P015,B,242,995049.3014541082
2023,P016,B,212,1012086.6511463544
2023,P017,A,277,1080290.8340450746
2023,P018,A,480,1637486.305507947
2023,P019,B,351,1146244.5552725056
2023,P020,B,324,1384410.2293325018
