year,product_code,product_name,cost_band,plant,segment,sales_qty,unit_price,sales_amount,unit_cost,margin_rate,customer_name,unit_profit,opt_sales_qty,delta_sales_qty
2024,P001,Product_001,low,A,electronics,5157.0,67728,349273296.0,53088.44,0.2161523107701087,Customer_B,14639.563703837923,10314,5157.0
2024,P001,Product_001,low,A,industrial,2145.0,60080,128871600.0,53458.53,0.1102109674484153,Customer_D,6621.474924300791,4290,2145.0
2024,P001,Product_001,low,A,oil_gas,2021.0,89850,181586850.0,44080.28,0.5094014155055091,Customer_A,45769.717183169996,4042,2021.0
2024,P001,Product_001,low,A,others,851.0,66736,56792336.0,54348.5,0.1856194390238435,Customer_G,12387.49888269522,0,-851.0
2024,P001,Product_001,low,B,electronics,3305.0,77505,256154025.0,62588.25,0.1924617889952684,Customer_G,14916.750956078276,6610,3305.0
2024,P001,Product_001,low,B,industrial,7079.0,68673,486136167.0,59896.85,0.1277961692209204,Customer_H,8776.146328908268,14158,7079.0
2024,P001,Product_001,low,B,oil_gas,1449.0,87323,126531027.0,46111.32,0.4719452773145163,Customer_E,41211.67745093551,2898,1449.0
2024,P001,Product_001,low,B,others,3177.0,86645,275271165.0,67441.19,0.2216377836725734,Customer_A,19203.80576631012,6354,3177.0
2024,P002,Product_002,low,A,electronics,2377.0,64548,153430596.0,48718.46,0.2452366867482331,Customer_G,15829.53765622495,4754,2377.0
2024,P002,Product_002,low,A,industrial,514.0,40854,20998956.0,37415.37,0.0841688543525639,Customer_G,3438.6343757196455,0,-514.0
2024,P002,Product_002,low,A,oil_gas,550.0,78623,43242650.0,35670.13,0.546314286160207,Customer_I,42952.86812077396,1100,550.0
2024,P002,Product_002,low,A,others,3744.0,47392,177435648.0,35866.78,0.2431891512176359,Customer_C,11525.220254506201,0,-3744.0
2024,P002,Product_002,low,B,electronics,1197.0,86717,103800249.0,71867.88,0.1712365293223094,Customer_A,14849.118113242705,2394,1197.0
2024,P002,Product_002,low,B,industrial,3961.0,95680,378988480.0,86149.06,0.0996126960204355,Customer_I,9530.942755235268,7922,3961.0
2024,P002,Product_002,low,B,oil_gas,2063.0,94401,194749263.0,43021.79,0.544265485007018,Customer_A,51379.206050147506,4126,2063.0
2024,P002,Product_002,low,B,others,3667.0,61556,225725852.0,48982.9,0.2042547318653851,Customer_D,12573.104274705645,7334,3667.0
2024,P003,Product_003,low,A,electronics,6584.0,78559,517232456.0,59147.89,0.2470895981671402,Customer_F,19411.11174241237,13168,6584.0
2024,P003,Product_003,low,A,industrial,9420.0,90859,855891780.0,77472.53,0.1473323855234936,Customer_I,13386.473216279104,18840,9420.0
2024,P003,Product_003,low,A,oil_gas,1901.0,66309,126053409.0,30618.79,0.5382407564373888,Customer_C,35690.20631860681,618,-1283.0
2024,P003,Product_003,low,A,others,862.0,61919,53374178.0,49934.21,0.1935559113655668,Customer_A,11984.78847584453,0,-862.0
2024,P003,Product_003,low,B,electronics,2478.0,92662,229616436.0,70600.02,0.2380909337213485,Customer_I,22061.982100487596,4956,2478.0
2024,P003,Product_003,low,B,industrial,1848.0,44931,83032488.0,40401.6,0.100807818288154,Customer_D,4529.3960835050475,0,-1848.0
2024,P003,Product_003,low,B,oil_gas,951.0,72970,69394470.0,36824.04,0.4953537604125022,Customer_C,36145.96389730028,1902,951.0
2024,P003,Product_003,low,B,others,2996.0,84215,252308140.0,68756.54,0.1835594197348874,Customer_I,15458.456532973543,5992,2996.0
