product_code,plant,production_qty,unit_cost,cost_amount
P001,A,10174.0,51243.9375,521355820.12
P001,B,15010.0,59009.4025,885731131.52
P002,A,7185.0,39417.685,283216066.72
P002,B,10888.0,62505.4075,680558876.86
P003,A,18767.0,54293.354999999996,1018923393.28
P003,B,8273.0,54145.55,447946135.15
P004,A,9382.0,53493.64,501877330.48
P004,B,11617.0,52390.525,608620728.93
P005,A,16345.0,46147.5225,754281255.26
P005,B,5812.0,45821.7325,266315909.29
P006,A,11815.0,57014.905,673631102.57
P006,B,9409.0,44120.1825,415126797.14
P007,A,9905.0,62946.35,623483596.75
P007,B,12003.0,51872.8525,622629848.56
P008,A,14914.0,35030.1675,522439918.1
P008,B,10103.0,43564.99,440137093.97
P009,A,18463.0,44594.4325,823347007.25
P009,B,12694.0,47840.475000000006,607286989.65
P010,A,10518.0,51814.7825,544987882.34
P010,B,11860.0,55693.89,660529535.4
P011,A,14250.0,48297.87,688244647.5
P011,B,7156.0,52386.082500000004,374874806.37
P012,A,22291.0,56325.8,1255558407.8
P012,B,10858.0,50054.854999999996,543495615.59
P013,A,17628.0,50440.9625,889173286.95
P013,B,10783.0,53562.4225,577563601.82
P014,A,17588.0,50851.31,894372840.28
P014,B,7597.0,56419.945,428622322.16
P015,A,12870.0,61387.0625,790051494.38
P015,B,11027.0,41577.5375,458475506.01
P016,A,12072.0,54929.7875,663112394.7
P016,B,10977.0,52939.6575,581118620.38
P017,A,17444.0,57628.9275,1005279011.31
P017,B,7871.0,51615.6875,406267076.31
P018,A,17808.0,54557.5125,971560182.6
P018,B,11084.0,51120.8575,566623584.53
P019,A,19442.0,54874.555,1066871098.31
P019,B,9968.0,54140.9425,539676914.84
P020,A,21139.0,34844.78,736583804.42
P020,B,9010.0,55828.8875,503018276.38
