competitor_code,competitor_name,segment_code,current_share,competitive_position
COMP_A,競合A,industrial,0.356,strong
COMP_B,競合B,industrial,0.178,moderate
COMP_C,競合C,industrial,0.151,weak
COMP_D,競合D,industrial,0.044,strong
COMP_E,競合E,industrial,0.071,strong
COMP_A,競合A,electronics,0.444,strong
COMP_B,競合B,electronics,0.267,strong
COMP_C,競合C,electronics,0.036,strong
COMP_D,競合D,electronics,0.053,strong
COMP_A,競合A,oil_gas,0.283,strong
COMP_B,競合B,oil_gas,0.094,weak
COMP_C,競合C,oil_gas,0.379,weak
COMP_E,競合E,oil_gas,0.094,weak
COMP_A,競合A,others,0.304,strong
COMP_B,競合B,others,0.364,strong
COMP_D,競合D,others,0.061,moderate
COMP_E,競合E,others,0.121,weak
