product_code,product_name,cost_band,allowed_plants,allowed_segments
P001,Product_001,low,A|B,industrial|electronics|oil_gas|others
P002,Product_002,low,A|B,industrial|electronics|oil_gas|others
P003,Product_003,low,A|B,industrial|electronics|oil_gas|others
P004,Product_004,low,A|B,industrial|electronics|oil_gas|others
P005,Product_005,low,A|B,industrial|electronics|oil_gas|others
P006,Product_006,low,A|B,industrial|electronics|oil_gas|others
P007,Product_007,low,A|B,industrial|electronics|oil_gas|others
P008,Product_008,low,A|B,industrial|electronics|oil_gas|others
P009,Product_009,low,A|B,industrial|electronics|oil_gas|others
P010,Product_010,low,A|B,industrial|electronics|oil_gas|others
P011,Product_011,low,A|B,industrial|electronics|oil_gas|others
P012,Product_012,low,A|B,industrial|electronics|oil_gas|others
P013,Product_013,high,A|B,industrial|electronics|oil_gas|others
P014,Product_014,high,A|B,industrial|electronics|oil_gas|others
P015,Product_015,high,A|B,industrial|electronics|oil_gas|others
P016,Product_016,high,A|B,industrial|electronics|oil_gas|others
P017,Product_017,high,A|B,industrial|electronics|oil_gas|others
P018,Product_018,high,A|B,industrial|electronics|oil_gas|others
P019,Product_019,high,A|B,industrial|electronics|oil_gas|others
P020,Product_020,high,A|B,industrial|electronics|oil_gas|others
