product_code,segment_code,plant_code,sales_volume,unit_profit,total_profit
P002,oil_gas,B,87516,51379.21,4496502942.36
P007,electronics,A,151452,20987.09,3178536754.68
P017,others,B,116484,22433.36,2613127506.24
P003,industrial,A,136342,13386.47,1825138092.74
P007,others,A,12181,19747.2,240540643.2
P018,oil_gas,A,25,33704.24,842606.0
P018,oil_gas,B,25,22484.26,562106.5
P018,electronics,A,25,14282.490000000003,357062.25000000006
P018,electronics,B,25,13244.740000000003,331118.50000000006
P018,others,B,25,12753.61,318840.25
