competitor_code,competitor_name,segment_code,current_share,competitive_position,current_sales_volume
COMP_A,競合A,industrial,0.356,strong,358848.0
COMP_B,競合B,industrial,0.178,moderate,179424.0
COMP_C,競合C,industrial,0.151,weak,152208.0
COMP_D,競合D,industrial,0.044,strong,44352.0
COMP_E,競合E,industrial,0.071,strong,71568.0
COMP_A,競合A,electronics,0.444,strong,279720.0
COMP_B,競合B,electronics,0.267,strong,168210.0
COMP_C,競合C,electronics,0.036,strong,22680.0
COMP_D,競合D,electronics,0.053,strong,33390.0
COMP_A,競合A,oil_gas,0.283,strong,95087.99999999999
COMP_B,競合B,oil_gas,0.094,weak,31584.0
COMP_C,競合C,oil_gas,0.379,weak,127344.0
COMP_E,競合E,oil_gas,0.094,weak,31584.0
COMP_A,競合A,others,0.304,strong,255360.0
COMP_B,競合B,others,0.364,strong,305760.0
COMP_D,競合D,others,0.061,moderate,51240.0
COMP_E,競合E,others,0.121,weak,101640.0
