segment,customer_name,product_code,plant,sales_qty,total_profit,unit_profit,margin_rate,profit_contribution,cumulative_profit,cumulative_percentage
electronics,Customer_F,P003,A,6584.0,127802748.24000001,19411.11,0.2470895981671402,1.912882061367124,127802748.24000001,1.912882061367124
industrial,Customer_I,P003,A,9420.0,126100547.4,13386.470000000001,0.1473323855234936,1.8874044445199067,253903295.64000002,3.8002865058870308
others,Customer_I,P014,A,6903.0,117795553.19999996,17064.399999999994,0.187933906326986,1.7630998059756327,371698848.84,5.563386311862663
others,Customer_E,P005,A,5997.0,114460601.07,19086.309999999998,0.2257612592796214,1.713184055392435,486159449.90999997,7.276570367255099
oil_gas,Customer_I,P012,A,2317.0,112690747.33,48636.49,0.5271676738160049,1.6866938467145134,598850197.24,8.963264213969612
others,Customer_F,P010,A,7496.0,111360126.24000002,14855.940000000002,0.2113040278640956,1.666777833572465,710210323.48,10.630042047542078
oil_gas,Customer_A,P002,B,2063.0,105995310.23,51379.21,0.544265485007018,1.5864801838787923,816205633.71,12.216522231420871
oil_gas,Customer_J,P013,A,2370.0,101778939.0,42944.7,0.4698184791600926,1.5233718313511497,917984572.71,13.73989406277202
others,Customer_C,P015,A,6450.0,101492555.99999999,15735.279999999999,0.2008074920694115,1.519085406286551,1019477128.71,15.25897946905857
electronics,Customer_B,P019,A,5125.0,95373123.75,18609.39,0.2175900248775563,1.4274930709261702,1114850252.46,16.68647253998474
electronics,Customer_B,P017,A,6647.0,94432134.31000002,14206.730000000003,0.1810535940965217,1.4134088525153763,1209282386.77,18.099881392500116
electronics,Customer_J,P010,B,4624.0,93810879.68000004,20287.820000000007,0.2336148955814963,1.4041102509310304,1303093266.45,19.50399164343115
oil_gas,Customer_E,P016,A,2160.0,93599517.6,43333.11,0.4630347541665143,1.4009466982151992,1396692784.05,20.904938341646346
oil_gas,Customer_A,P001,A,2021.0,92500604.12,45769.72,0.5094014155055091,1.3844987586220774,1489193388.17,22.289437100268426
oil_gas,Customer_D,P005,A,2314.0,91483457.77999999,39534.77,0.5292614894203364,1.3692746651314,1580676845.95,23.658711765399822
industrial,Customer_E,P013,A,10497.0,85827775.77000004,8176.4100000000035,0.0989376596987481,1.2846234912661136,1666504621.72,24.94333525666594
oil_gas,Customer_J,P019,A,3088.0,83483740.32,27034.89,0.451861754858866,1.2495392428813021,1749988362.04,26.192874499547237
industrial,Customer_H,P009,A,9824.0,82527101.43999998,8400.559999999998,0.1117794608043843,1.235220792159711,1832515463.48,27.42809529170695
industrial,Customer_A,P012,A,10308.0,81060359.64000002,7863.830000000002,0.0900194318531676,1.2132673982263624,1913575823.1200001,28.641362689933313
electronics,Customer_C,P012,A,6092.0,79413362.56,13035.68,0.2139381331764896,1.1886160412497526,1992989185.68,29.829978731183065
electronics,Customer_E,P004,B,4437.0,78558282.98999998,17705.269999999997,0.2192005781359335,1.175817675072032,2071547468.67,31.005796406255097
industrial,Customer_I,P007,A,5934.0,76341503.40000004,12865.100000000006,0.1336634135548881,1.1426381232227043,2147888972.07,32.148434529477804
electronics,Customer_B,P001,A,5157.0,75496210.91999999,14639.559999999998,0.2161523107701087,1.1299862448877862,2223385182.9900002,33.27842077436559
oil_gas,Customer_E,P017,A,2359.0,74913937.35000001,31756.65,0.5014630574753882,1.121271090619198,2298299120.34,34.39969186498479
electronics,Customer_C,P011,A,5306.0,74826114.02,14102.169999999998,0.1720280594732366,1.1199565987570115,2373125234.36,35.519648463741795
oil_gas,Customer_J,P020,B,1576.0,72478112.4,45988.65,0.5145467791413811,1.0848129868956728,2445603346.76,36.60446145063747
others,Customer_J,P004,A,4259.0,70850296.37,16635.43,0.2156048936071492,1.060448721448537,2516453643.13,37.66491017208601
oil_gas,Customer_J,P008,A,2254.0,67887978.06,30118.89,0.5172666608455209,1.016110351317269,2584341621.19,38.68102052340328
oil_gas,Customer_C,P003,A,1901.0,67847089.21,35690.21,0.5382407564373888,1.0154983492378766,2652188710.4,39.69651887264115
electronics,Customer_E,P005,A,4398.0,67088059.56,15254.220000000001,0.2401898457542364,1.0041376060494422,2719276769.96,40.7006564786906
others,Customer_F,P012,B,3371.0,66708954.97000002,19789.070000000007,0.214348324200912,0.9984633746296995,2785985724.93,41.69911985332029
others,Customer_E,P018,B,5097.0,65005150.17,12753.61,0.1556950918768183,0.9729617505811238,2850990875.1,42.67208160390141
oil_gas,Customer_J,P015,B,1481.0,64387926.38,43475.98,0.5000687932571389,0.9637234804187104,2915378801.48,43.635805084320126
others,Customer_J,P006,A,3219.0,62230995.59999998,19332.399999999994,0.210907391908875,0.9314397130233134,2977609797.08,44.56724479734344
industrial,Customer_H,P001,B,7079.0,62126365.85000001,8776.150000000001,0.1277961692209204,0.9298736718026316,3039736162.93,45.497118469146066
electronics,Customer_F,P015,A,3849.0,61852891.14,16069.86,0.1818803787517899,0.9257804510057344,3101589054.0699997,46.4228989201518
industrial,Customer_I,P019,A,10083.0,61538767.26000001,6103.220000000001,0.0755180504235009,0.9210788155293936,3163127821.33,47.3439777356812
others,Customer_A,P001,B,3177.0,61010504.36999999,19203.809999999998,0.2216377836725734,0.9131720637585368,3224138325.7,48.25714979943974
industrial,Customer_J,P006,A,5502.0,60900372.54000002,11068.770000000004,0.1348090715743344,0.9115236703953764,3285038698.24,49.16867346983511
oil_gas,Customer_J,P007,A,2604.0,60244086.839999996,23135.21,0.4970396125481228,0.9017007427983553,3345282785.08,50.07037421263346
others,Customer_C,P018,A,6206.0,59719282.98000001,9622.830000000002,0.1580622401101941,0.8938457639081909,3405002068.06,50.964219976541656
oil_gas,Customer_E,P001,B,1449.0,59715724.32,41211.68,0.4719452773145163,0.8937924998198183,3464717792.38,51.85801247636148
industrial,Customer_A,P018,A,7600.0,58059363.99999999,7639.389999999999,0.1224280513564851,0.8690009989567979,3522777156.38,52.72701347531827
others,Customer_B,P020,A,7153.0,56650114.80999998,7919.769999999997,0.1725627658057045,0.8479081231566244,3579427271.19,53.5749215984749
others,Customer_A,P012,A,3574.0,55628595.20000001,15564.800000000003,0.2228157901374185,0.8326185729379219,3635055866.39,54.40754017141282
oil_gas,Customer_A,P012,B,2204.0,55267746.44,25076.11,0.5290317533356614,0.8272175848576471,3690323612.83,55.23475775627047
electronics,Customer_I,P003,B,2478.0,54669586.43999999,22061.979999999996,0.2380909337213485,0.8182646511407706,3744993199.27,56.053022407411234
electronics,Customer_F,P020,A,5145.0,52376665.95,10180.11,0.2088056835043108,0.7839454636908617,3797369865.22,56.8369678711021
others,Customer_H,P016,B,3325.0,51403402.74999999,15459.669999999998,0.2252184193139966,0.7693781891845839,3848773267.97,57.60634606028668
electronics,Customer_E,P020,B,3432.0,51000000.48,14860.14,0.2100491801312686,0.7633402832989555,3899773268.45,58.369686343585634
others,Customer_I,P017,B,2250.0,50475060.0,22433.36,0.2268952451059131,0.7554832595548985,3950248328.45,59.125169603140534
oil_gas,Customer_F,P008,B,2170.0,49530879.300000004,22825.29,0.498815251312901,0.7413512760992111,3999779207.75,59.86652087923975
electronics,Customer_G,P001,B,3305.0,49299858.75,14916.75,0.1924617889952684,0.737893486090875,4049079066.5,60.604414365330626
others,Customer_J,P011,A,4011.0,49249424.48999999,12278.589999999997,0.2368784096409764,0.7371386135035408,4098328490.99,61.341552978834166
electronics,Customer_E,P019,B,3306.0,47889129.12000001,14485.520000000004,0.1594531862097325,0.7167784518695572,4146217620.1099997,62.05833143070372
others,Customer_D,P009,A,5174.0,47545903.86,9189.39,0.21983123806552,0.7116412427570493,4193763523.97,62.76997267346077
oil_gas,Customer_G,P019,B,1703.0,46830030.65,27498.55,0.5057389732291321,0.7009264417024527,4240593554.62,63.47089911516323
others,Customer_I,P003,B,2996.0,46313546.16000002,15458.460000000006,0.1835594197348874,0.6931959826199922,4286907100.7799997,64.16409509778322
others,Customer_D,P002,B,3667.0,46105557.699999996,12573.099999999999,0.2042547318653851,0.6900829244144027,4333012658.48,64.85417802219762
others,Customer_J,P007,B,4254.0,45325604.28,10654.82,0.2072478414505968,0.678409005610887,4378338262.759999,65.5325870278085
oil_gas,Customer_C,P004,B,886.0,44807128.68,50572.38,0.5492043080083411,0.6706487446763247,4423145391.44,66.20323577248483
others,Customer_D,P013,B,2936.0,44687358.640000015,15220.490000000005,0.1536802113617402,0.6688560918252691,4467832750.08,66.87209186431011
electronics,Customer_E,P018,A,3113.0,44461391.37000002,14282.490000000005,0.1656632907831437,0.6654739365649817,4512294141.45,67.53756580087507
others,Customer_C,P002,A,3744.0,43150423.68000001,11525.220000000001,0.2431891512176359,0.6458520848304347,4555444565.13,68.18341788570552
