product_code,product_name,cost_band,plant_code,segment_code,customer_code,unit_cost,unit_price,unit_profit,margin_rate,sales_volume
P001,Product_001,low,A,industrial,Customer_E,47607.54,61257.69,13650.15,0.223,710
P001,Product_001,low,A,industrial,Customer_G,45520.71,54514.01,8993.3,0.165,710
P001,Product_001,low,A,industrial,Customer_A,48868.68,53367.36,4498.68,0.084,710
P001,Product_001,low,A,electronics,Customer_B,50674.36,61928.44,11254.08,0.182,1056
P001,Product_001,low,A,electronics,Customer_G,48836.37,70413.96,21577.59,0.306,1056
P001,Product_001,low,A,electronics,Customer_I,45993.65,62014.95,16021.3,0.258,1056
P001,Product_001,low,A,oil_gas,Customer_C,48723.47,65594.96,16871.49,0.257,1045
P001,Product_001,low,A,oil_gas,Customer_H,44615.1,68279.92,23664.82,0.347,1045
P001,Product_001,low,A,oil_gas,Customer_J,45972.8,73843.2,27870.4,0.377,1045
P001,Product_001,low,A,others,Customer_D,48718.73,51154.67,2435.94,0.048,565
P001,Product_001,low,A,others,Customer_H,46793.29,52011.05,5217.76,0.1,565
P001,Product_001,low,B,industrial,Customer_G,50405.58,65596.17,15190.59,0.232,1258
P001,Product_001,low,B,industrial,Customer_E,49617.67,58505.48,8887.81,0.152,1258
P001,Product_001,low,B,electronics,Customer_J,56086.92,66506.36,10419.44,0.157,652
P001,Product_001,low,B,electronics,Customer_F,54757.13,69797.53,15040.4,0.215,652
P001,Product_001,low,B,electronics,Customer_B,53989.57,70573.88,16584.31,0.235,652
P001,Product_001,low,B,oil_gas,Customer_I,52919.73,88539.5,35619.77,0.402,510
P001,Product_001,low,B,oil_gas,Customer_C,53536.19,88052.49,34516.3,0.392,510
P001,Product_001,low,B,others,Customer_H,48850.74,59724.61,10873.87,0.182,737
P001,Product_001,low,B,others,Customer_D,48630.32,51728.56,3098.24,0.06,737
P002,Product_002,low,A,industrial,Customer_G,48233.61,56209.77,7976.16,0.142,4547
P002,Product_002,low,A,electronics,Customer_F,47215.02,64561.0,17345.98,0.269,4005
P002,Product_002,low,A,oil_gas,Customer_J,47315.03,71234.97,23919.94,0.336,4638
P002,Product_002,low,A,others,Customer_H,49910.19,52405.7,2495.51,0.048,4556
P002,Product_002,low,B,industrial,Customer_E,53637.04,67019.79,13382.75,0.2,1071
P002,Product_002,low,B,industrial,Customer_J,54688.33,66879.71,12191.38,0.182,1071
P002,Product_002,low,B,industrial,Customer_G,50700.97,61130.25,10429.28,0.171,1071
P002,Product_002,low,B,electronics,Customer_I,50370.1,78556.4,28186.3,0.359,1020
P002,Product_002,low,B,electronics,Customer_B,52745.08,84927.35,32182.27,0.379,1020
P002,Product_002,low,B,electronics,Customer_F,49621.18,81047.33,31426.15,0.388,1020
P002,Product_002,low,B,oil_gas,Customer_H,51390.83,84350.08,32959.25,0.391,1806
P002,Product_002,low,B,oil_gas,Customer_C,51876.5,79957.85,28081.35,0.351,1806
P002,Product_002,low,B,others,Customer_H,51979.15,55544.01,3564.86,0.064,2002
P002,Product_002,low,B,others,Customer_D,49789.38,58001.67,8212.29,0.142,2002
P003,Product_003,low,A,industrial,Customer_E,48478.66,53599.39,5120.73,0.096,345
P003,Product_003,low,A,industrial,Customer_J,47327.06,58110.25,10783.19,0.186,345
P003,Product_003,low,A,industrial,Customer_G,47000.1,61319.59,14319.49,0.234,345
P003,Product_003,low,A,electronics,Customer_I,47141.2,71504.14,24362.94,0.341,2472
P003,Product_003,low,A,electronics,Customer_G,48858.03,72702.51,23844.48,0.328,2472
P003,Product_003,low,A,oil_gas,Customer_H,47128.82,79769.36,32640.54,0.409,1806
P003,Product_003,low,A,oil_gas,Customer_J,45818.9,75946.18,30127.28,0.397,1806
P003,Product_003,low,A,others,Customer_H,46035.77,48364.91,2329.14,0.048,1702
P003,Product_003,low,B,industrial,Customer_G,52342.75,65227.45,12884.7,0.198,400
P003,Product_003,low,B,industrial,Customer_J,51800.96,59595.77,7794.81,0.131,400
P003,Product_003,low,B,industrial,Customer_E,53889.5,59277.18,5387.68,0.091,400
P003,Product_003,low,B,electronics,Customer_G,52673.56,76002.22,23328.66,0.307,1815
P003,Product_003,low,B,oil_gas,Customer_H,51967.52,84048.41,32080.89,0.382,2275
P003,Product_003,low,B,others,Customer_H,53152.38,55810.0,2657.62,0.048,1884
P003,Product_003,low,B,others,Customer_D,49254.04,53183.35,3929.31,0.074,1884
P004,Product_004,low,A,industrial,Customer_A,46184.37,58195.01,12010.64,0.206,896
P004,Product_004,low,A,industrial,Customer_G,46961.95,55646.27,8684.32,0.156,896
P004,Product_004,low,A,electronics,Customer_B,48581.88,66135.07,17553.19,0.265,690
P004,Product_004,low,A,electronics,Customer_G,45446.92,71528.68,26081.76,0.365,690
P004,Product_004,low,A,oil_gas,Customer_J,47693.7,74524.8,26831.1,0.36,1628
P004,Product_004,low,A,oil_gas,Customer_I,46918.27,66117.63,19199.36,0.29,1628
P004,Product_004,low,A,oil_gas,Customer_C,47541.9,69190.44,21648.54,0.313,1628
P004,Product_004,low,A,others,Customer_H,45763.2,54814.89,9051.69,0.165,1184
P004,Product_004,low,A,others,Customer_D,44609.65,57410.39,12800.74,0.223,1184
P004,Product_004,low,B,industrial,Customer_G,53190.27,62735.16,9544.89,0.152,4134
P004,Product_004,low,B,electronics,Customer_B,53652.31,77383.3,23730.99,0.307,899
P004,Product_004,low,B,electronics,Customer_G,51317.06,72586.66,21269.6,0.293,899
P004,Product_004,low,B,electronics,Customer_F,55635.68,82618.74,26983.06,0.327,899
P004,Product_004,low,B,oil_gas,Customer_H,54620.97,79935.04,25314.07,0.317,1520
P004,Product_004,low,B,oil_gas,Customer_J,55481.64,88966.71,33485.07,0.376,1520
P004,Product_004,low,B,oil_gas,Customer_C,54172.7,87034.2,32861.5,0.378,1520
P004,Product_004,low,B,others,Customer_H,54128.81,56835.25,2706.44,0.048,3182
P005,Product_005,low,A,industrial,Customer_J,46097.28,58685.39,12588.11,0.215,2052
P005,Product_005,low,A,industrial,Customer_A,48733.96,52972.06,4238.1,0.08,2052
P005,Product_005,low,A,electronics,Customer_F,44026.94,63241.21,19214.27,0.304,1376
P005,Product_005,low,A,electronics,Customer_J,44770.5,67541.68,22771.18,0.337,1376
P005,Product_005,low,A,oil_gas,Customer_J,46023.62,75523.79,29500.17,0.391,1258
P005,Product_005,low,A,oil_gas,Customer_H,46846.49,72534.72,25688.23,0.354,1258
P005,Product_005,low,A,oil_gas,Customer_C,50242.05,70691.05,20449.0,0.289,1258
P005,Product_005,low,A,others,Customer_H,49240.94,55230.17,5989.23,0.108,3660
P005,Product_005,low,B,industrial,Customer_G,53945.5,65308.16,11362.66,0.174,1014
P005,Product_005,low,B,industrial,Customer_J,55186.82,60398.56,5211.74,0.086,1014
P005,Product_005,low,B,electronics,Customer_J,55013.93,71867.65,16853.72,0.235,623
P005,Product_005,low,B,electronics,Customer_F,54879.07,83804.1,28925.03,0.345,623
P005,Product_005,low,B,electronics,Customer_B,50139.81,74833.99,24694.18,0.33,623
P005,Product_005,low,B,oil_gas,Customer_I,53504.58,84134.32,30629.74,0.364,2881
P005,Product_005,low,B,others,Customer_H,49428.56,53214.49,3785.93,0.071,2323
P005,Product_005,low,B,others,Customer_D,50929.99,53476.49,2546.5,0.048,2323
P006,Product_006,low,A,industrial,Customer_G,50719.01,60834.0,10114.99,0.166,1010
P006,Product_006,low,A,industrial,Customer_J,47212.46,52025.75,4813.29,0.093,1010
P006,Product_006,low,A,electronics,Customer_B,48668.67,75361.36,26692.69,0.354,1493
P006,Product_006,low,A,electronics,Customer_J,48486.72,72833.73,24347.01,0.334,1493
P006,Product_006,low,A,electronics,Customer_I,46543.49,68103.48,21559.99,0.317,1493
P006,Product_006,low,A,oil_gas,Customer_C,49772.78,79730.15,29957.37,0.376,513
P006,Product_006,low,A,oil_gas,Customer_J,47804.84,74445.63,26640.79,0.358,513
P006,Product_006,low,A,oil_gas,Customer_I,48514.38,78708.43,30194.05,0.384,513
P006,Product_006,low,A,others,Customer_D,48549.45,52955.74,4406.29,0.083,1361
P006,Product_006,low,A,others,Customer_H,46145.71,48453.0,2307.29,0.048,1361
P006,Product_006,low,B,industrial,Customer_E,52930.85,58457.56,5526.71,0.095,1864
P006,Product_006,low,B,industrial,Customer_A,51979.81,64987.76,13007.95,0.2,1864
P006,Product_006,low,B,electronics,Customer_G,52418.63,69176.49,16757.86,0.242,1846
P006,Product_006,low,B,electronics,Customer_I,52543.67,76770.29,24226.62,0.316,1846
P006,Product_006,low,B,oil_gas,Customer_H,50015.55,73839.15,23823.6,0.323,2363
P006,Product_006,low,B,others,Customer_D,54475.06,57295.73,2820.67,0.049,1264
P006,Product_006,low,B,others,Customer_H,56293.63,59403.77,3110.14,0.052,1264
P007,Product_007,low,A,industrial,Customer_J,46114.33,55365.04,9250.71,0.167,1618
P007,Product_007,low,A,industrial,Customer_A,45266.37,59266.64,14000.27,0.236,1618
P007,Product_007,low,A,electronics,Customer_I,45966.3,69920.61,23954.31,0.343,1840
P007,Product_007,low,A,electronics,Customer_B,44794.91,62887.07,18092.16,0.288,1840
P007,Product_007,low,A,oil_gas,Customer_C,49181.8,78952.96,29771.16,0.377,2215
P007,Product_007,low,A,oil_gas,Customer_I,50608.18,72371.84,21763.66,0.301,2215
P007,Product_007,low,A,others,Customer_D,47064.27,51963.74,4899.47,0.094,1317
P007,Product_007,low,B,industrial,Customer_A,49663.75,57360.13,7696.38,0.134,561
P007,Product_007,low,B,industrial,Customer_J,49517.32,59616.21,10098.89,0.169,561
P007,Product_007,low,B,industrial,Customer_E,50651.07,56566.1,5915.03,0.105,561
P007,Product_007,low,B,electronics,Customer_J,51556.86,73971.13,22414.27,0.303,2372
P007,Product_007,low,B,electronics,Customer_G,51352.05,69252.52,17900.47,0.258,2372
P007,Product_007,low,B,oil_gas,Customer_C,50169.34,85137.43,34968.09,0.411,712
P007,Product_007,low,B,oil_gas,Customer_I,53220.7,80818.78,27598.08,0.341,712
P007,Product_007,low,B,oil_gas,Customer_J,54432.87,82949.64,28516.77,0.344,712
P007,Product_007,low,B,others,Customer_H,48933.75,52096.93,3163.18,0.061,2291
P008,Product_008,low,A,industrial,Customer_G,48852.53,57968.27,9115.74,0.157,1395
P008,Product_008,low,A,industrial,Customer_J,46269.3,57850.85,11581.55,0.2,1395
P008,Product_008,low,A,industrial,Customer_A,46597.23,58623.81,12026.58,0.205,1395
P008,Product_008,low,A,electronics,Customer_F,48381.81,76940.23,28558.42,0.371,566
P008,Product_008,low,A,electronics,Customer_I,44494.71,66156.87,21662.16,0.327,566
P008,Product_008,low,A,electronics,Customer_J,44256.92,64818.27,20561.35,0.317,566
P008,Product_008,low,A,oil_gas,Customer_J,46946.74,67755.9,20809.16,0.307,863
P008,Product_008,low,A,oil_gas,Customer_C,45532.92,79223.78,33690.86,0.425,863
P008,Product_008,low,A,oil_gas,Customer_I,46769.26,78773.08,32003.82,0.406,863
