product_code,plant_code,segment_code,customer_code,product_name,cost_band,unit_price,unit_cost,unit_profit,margin_rate,sales_volume,segment_name,market_size,market_size_after_1y,cagr,current_share,strategy_type,total_profit,total_qty_per_pps,segment_total_qty,plant_total_qty,total_sales_qty,plant_capacity,total_sales_target
P001,A,industrial,Customer_E,Product_001,low,61257.69,47607.54,13650.15,0.223,710,Industrial,1008000,997920,-0.01,0.2,withdrawal,9691606.5,2130,118385,256536,482259,300000,504000
P001,A,industrial,Customer_G,Product_001,low,54514.01,45520.71,8993.3,0.165,710,Industrial,1008000,997920,-0.01,0.2,withdrawal,6385242.999999999,2130,118385,256536,482259,300000,504000
P001,A,industrial,Customer_A,Product_001,low,53367.36,48868.68,4498.68,0.084,710,Industrial,1008000,997920,-0.01,0.2,withdrawal,3194062.8000000003,2130,118385,256536,482259,300000,504000
P001,A,electronics,Customer_B,Product_001,low,61928.44,50674.36,11254.08,0.182,1056,Electronics,630000,648900,0.03,0.2,maintain,11884308.48,3168,121435,256536,482259,300000,504000
P001,A,electronics,Customer_G,Product_001,low,70413.96,48836.37,21577.59,0.306,1056,Electronics,630000,648900,0.03,0.2,maintain,22785935.04,3168,121435,256536,482259,300000,504000
P001,A,electronics,Customer_I,Product_001,low,62014.95,45993.65,16021.3,0.258,1056,Electronics,630000,648900,0.03,0.2,maintain,16918492.8,3168,121435,256536,482259,300000,504000
P001,A,oil_gas,Customer_C,Product_001,low,65594.96,48723.47,16871.49,0.257,1045,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,17630707.05,3135,122541,256536,482259,300000,504000
P001,A,oil_gas,Customer_H,Product_001,low,68279.92,44615.1,23664.82,0.347,1045,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,24729736.9,3135,122541,256536,482259,300000,504000
P001,A,oil_gas,Customer_J,Product_001,low,73843.2,45972.8,27870.4,0.377,1045,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,29124568.0,3135,122541,256536,482259,300000,504000
P001,A,others,Customer_D,Product_001,low,51154.67,48718.73,2435.94,0.048,565,Others,126000,123480,-0.02,0.2,reduction,1376306.1,1130,119898,256536,482259,300000,504000
P001,A,others,Customer_H,Product_001,low,52011.05,46793.29,5217.76,0.1,565,Others,126000,123480,-0.02,0.2,reduction,2948034.4,1130,119898,256536,482259,300000,504000
P001,B,industrial,Customer_G,Product_001,low,65596.17,50405.58,15190.59,0.232,1258,Industrial,1008000,997920,-0.01,0.2,withdrawal,19109762.22,2516,118385,225723,482259,204000,504000
P001,B,industrial,Customer_E,Product_001,low,58505.48,49617.67,8887.81,0.152,1258,Industrial,1008000,997920,-0.01,0.2,withdrawal,11180864.979999999,2516,118385,225723,482259,204000,504000
P001,B,electronics,Customer_J,Product_001,low,66506.36,56086.92,10419.44,0.157,652,Electronics,630000,648900,0.03,0.2,maintain,6793474.88,1956,121435,225723,482259,204000,504000
P001,B,electronics,Customer_F,Product_001,low,69797.53,54757.13,15040.4,0.215,652,Electronics,630000,648900,0.03,0.2,maintain,9806340.799999999,1956,121435,225723,482259,204000,504000
P001,B,electronics,Customer_B,Product_001,low,70573.88,53989.57,16584.31,0.235,652,Electronics,630000,648900,0.03,0.2,maintain,10812970.120000001,1956,121435,225723,482259,204000,504000
P001,B,oil_gas,Customer_I,Product_001,low,88539.5,52919.73,35619.77,0.402,510,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,18166082.7,1020,122541,225723,482259,204000,504000
P001,B,oil_gas,Customer_C,Product_001,low,88052.49,53536.19,34516.3,0.392,510,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,17603313.0,1020,122541,225723,482259,204000,504000
P001,B,others,Customer_H,Product_001,low,59724.61,48850.74,10873.87,0.182,737,Others,126000,123480,-0.02,0.2,reduction,8014042.19,1474,119898,225723,482259,204000,504000
P001,B,others,Customer_D,Product_001,low,51728.56,48630.32,3098.24,0.06,737,Others,126000,123480,-0.02,0.2,reduction,2283402.88,1474,119898,225723,482259,204000,504000
P002,A,industrial,Customer_G,Product_002,low,56209.77,48233.61,7976.16,0.142,4547,Industrial,1008000,997920,-0.01,0.2,withdrawal,36267599.519999996,4547,118385,256536,482259,300000,504000
P002,A,electronics,Customer_F,Product_002,low,64561.0,47215.02,17345.98,0.269,4005,Electronics,630000,648900,0.03,0.2,maintain,69470649.89999999,4005,121435,256536,482259,300000,504000
P002,A,oil_gas,Customer_J,Product_002,low,71234.97,47315.03,23919.94,0.336,4638,Oil & Gas,756000,793800,0.05,0.2,aggressive_expansion,110940681.72,4638,122541,256536,482259,300000,504000
P002,A,others,Customer_H,Product_002,low,52405.7,49910.19,2495.51,0.048,4556,Others,126000,123480,-0.02,0.2,reduction,11369543.56,4556,119898,256536,482259,300000,504000
P002,B,industrial,Customer_E,Product_002,low,67019.79,53637.04,13382.75,0.2,1071,Industrial,1008000,997920,-0.01,0.2,withdrawal,14332925.25,3213,118385,225723,482259,204000,504000
P002,B,industrial,Customer_J,Product_002,low,66879.71,54688.33,12191.38,0.182,1071,Industrial,1008000,997920,-0.01,0.2,withdrawal,13056967.979999999,3213,118385,225723,482259,204000,504000
